answer,count,Do_people_eat_it,Do_people_hunt_it,Do_people_ride_it,Does_it_have_horns,Does_it_have_wings,Is_it_a_carnivore,Is_it_a_farm_animal,Is_it_a_type_of_bird,Is_it_larger_than_a_car
dog,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
cat,1,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.5,0.5
zebra,1,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.5,0.5
elephant,2,0.5,0.5,0.5,0.5,0.25,0.5,0.0,0.25,1.0
pig,2,0.5,0.5,0.5,0.5,0.25,0.5,1.0,0.25,0.5
horse,2,0.5,0.25,1.0,0.5,0.25,0.5,0.875,0.25,0.5
lion,1,0.5,0.5,0.0,0.5,0.0,1.0,0.0,0.0,0.0
raccoon,1,0.5,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0
duck,3,0.6667,1.0,0.3333,0.5,0.8333,0.3333,0.5,0.8333,0.3333
chicken,3,0.6667,0.3333,0.3333,0.5,1.0,0.3333,1.0,1.0,0.3333
cow,3,1.0,0.1667,0.5,0.5,0.1667,0.1667,1.0,0.1667,0.3333
goat,4,0.5,0.25,0.125,0.625,0.125,0.125,1.0,0.125,0.125
